title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Livin' On Love,Alan Jackson,26iYJEimPCE0ozDlpj0UFN,0.705,0.669,9,-5.974,1,0.0262,0.163,3.41e-06,0.0966,0.673,118.539,1
Ring of Fire,Johnny Cash,6YffUZJ2R06kyxyK6onezL,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,10
Live Like You Were Dying,Tim McGraw,7B1QliUMZv7gSTUGAfMRRD,0.416,0.546,7,-7.728,1,0.0297,0.492,0.0,0.0845,0.418,159.929,4
Your Cheatin' Heart,"Hank Williams, Drifting Cowboys",73HgnHCHDEZCmtMpEzxnO0,0.668,0.14,0,-17.412,1,0.0316,0.947,2.61e-06,0.326,0.635,128.095,3
When You Say Nothing At All,Alison Krauss & Union Station,6HveTIMynTMzTc5L0TcS20,0.514,0.243,3,-12.348,1,0.0288,0.752,0.00054,0.0822,0.388,171.816,3
Drink In My Hand,Eric Church,1cktZnxiONH0hR6Q3DKy8h,0.626,0.913,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044,15
"Luckenbach, Texas (Back to the Basics of Love)",Waylon Jennings,6ANPIv5r3vdWntrmFa6H6M,0.684,0.45,7,-10.422,1,0.0332,0.704,0.00191,0.243,0.639,102.902,10
Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,1
God Bless The USA,Lee Greenwood,3DWGiPUy9PhJIMOt1SRIVL,0.368,0.411,5,-8.821,1,0.0281,0.0756,0.0,0.145,0.156,138.749,13
Hello Darlin',Conway Twitty,6vmAgl2y9MpoZKrVUXrPe5,0.276,0.235,0,-14.352,1,0.0315,0.94,1.01e-05,0.132,0.472,170.55,3
Cruise,Florida Georgia Line,1aS5oaBNG6wsf186ZZMCzX,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,1
Lookin' for Love,Johnny Lee,1GZPwcq6wQ5XimwWxQy6sy,0.733,0.441,2,-12.548,1,0.0315,0.631,0.000667,0.115,0.784,124.547,10
Pickin' up Strangers,Johnny Lee,6oLb7W5ALa0i3cd4bQanEU,0.64,0.282,0,-17.362,1,0.0416,0.354,0.000183,0.0649,0.474,134.242,3
Dreams Die Hard,Johnny Lee,2tyGwTGnMrO3rFeRm9hpw5,0.672,0.296,4,-15.277,1,0.0277,0.649,0.000234,0.11,0.528,105.04,3
Down and Dirty,Johnny Lee,1GQg6OaA6G5L94Kniz8Vol,0.773,0.495,11,-14.521,0,0.0298,0.157,0.000673,0.121,0.87,101.172,20
Fool for Love,Johnny Lee,43J5oKpADrahUqE5VVeKcD,0.683,0.35,9,-15.09,1,0.0629,0.176,0.0,0.157,0.67,135.792,10
One in a Million,Johnny Lee,6rO3H8372xNbIp6lxvbSpu,0.672,0.465,7,-13.479,1,0.03,0.502,1.06e-06,0.124,0.522,121.216,10
Anni,Johnny Lee,6Sqnw4eNhs8vP1q9U0RXQT,0.707,0.328,7,-14.615,1,0.0323,0.52,6.61e-05,0.0862,0.664,116.441,10
Do You Love as Good as You Look,Johnny Lee,1nFbE2x7KrUOoLlCgix5ZO,0.714,0.357,4,-16.65,1,0.0341,0.451,0.000117,0.242,0.744,117.229,10
Too Damned Old,Johnny Lee,6bY64DOIOx9BcWD1kGfAME,0.816,0.561,9,-14.126,1,0.035,0.249,0.125,0.12,0.967,116.289,10
Prisoner of Hope,Johnny Lee,2QsMmg5uwLy3EIGA8HLszU,0.512,0.293,5,-16.944,1,0.047,0.589,0.00453,0.147,0.663,204.795,3
Coal Miner's Daughter - Single Version,Loretta Lynn,3mM14WXoPaLRjjkmxHe99L,0.604,0.354,9,-14.07,1,0.0313,0.836,0.00474,0.103,0.635,137.349,3
It's A Great Day To Be Alive,Travis Tritt,3oW6SWwGqiZSPTiAp7ZQoH,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,13
Take This Job and Shove It,Johnny Paycheck,6yT7kcpsXNW7QS9xunPaox,0.763,0.364,5,-14.244,1,0.0559,0.556,2.02e-05,0.0792,0.715,137.132,10
"Forever and Ever, Amen",Randy Travis,4rQSLX4qMiUWL81hEQOuPY,0.701,0.68,2,-8.492,1,0.0264,0.303,1.51e-05,0.159,0.704,90.607,15
Okie From Muskogee - Re-Recorded,Merle Haggard,3clB1MI7aKn0N9X1KuWK8n,0.683,0.416,4,-12.967,1,0.0536,0.462,0.0,0.384,0.738,142.386,10
Don't Take The Girl,Tim McGraw,2iTRea118VRKRUzrGjjlHP,0.439,0.454,0,-8.669,1,0.0308,0.279,0.0,0.123,0.354,204.263,4
Neon Moon - with Kacey Musgraves,"Brooks & Dunn, Kacey Musgraves",3lVPtkNFoIyPPGVdNri4VH,0.645,0.552,3,-7.623,1,0.033,0.167,2.33e-05,0.0718,0.214,102.881,13
Big Green Tractor,Jason Aldean,1jvUrVUMm1U2XfXX534fRP,0.616,0.596,4,-5.035,1,0.0289,0.654,0.0,0.218,0.58,137.077,10
The Gambler,Kenny Rogers,5KqldkCunQ2rWxruMEtGh0,0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04,10
It's Five O'Clock Somewhere,"Alan Jackson, Jimmy Buffett",5oHHMDcVOmPSFrCgdbHPdb,0.713,0.772,2,-6.69,1,0.0372,0.208,0.0,0.211,0.88,125.202,15
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash,5xMNjx7uqCzMpJZSo4Wq55,0.63,0.489,10,-12.144,1,0.18,0.77,0.0,0.381,0.796,101.876,10
Don't Blink,Kenny Chesney,6reuJxDtjebwc9FB6rNpp0,0.604,0.605,4,-8.516,1,0.0352,0.115,1.22e-05,0.305,0.647,147.925,1
All My Ex's Live In Texas,George Strait,7k1Xm1wy00hCKJDYJL5p1n,0.764,0.333,9,-15.921,1,0.0308,0.217,1.02e-05,0.11,0.738,130.541,10
Wagon Wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,13
Kiss An Angel Good Mornin',Charley Pride,1gNUf7ItWfqwFrpDWzYcYY,0.686,0.512,4,-10.361,1,0.0294,0.794,0.0,0.313,0.876,131.794,10
Colder Weather,Zac Brown Band,3U8dHeggJ8IBe0UCb1gbyB,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,3
Good Hearted Woman,"Waylon Jennings, Willie Nelson",3CqLvQ9fPOLtLIKb7r5ti6,0.41,0.568,2,-11.673,1,0.0346,0.387,0.102,0.389,0.644,103.026,10
Fancy,Reba McEntire,1ecIqo8pOc8S6y3l80iGxd,0.675,0.54,4,-10.139,1,0.0774,0.204,0.0,0.0688,0.514,94.959,13
"Hey, Good Lookin'","Hank Williams, Drifting Cowboys",7tNJo8NJ7fhprfjyDgdH2A,0.786,0.248,7,-12.888,1,0.0384,0.868,0.0,0.116,0.865,141.185,10
Cowboy Take Me Away,The Chicks,3rXCZRMiMZp0feGcYXpwYX,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,4
Six Days on the Road,Dave Dudley,1tswBQlL2Bklbb82GHxKoW,0.684,0.614,7,-11.571,1,0.0355,0.611,0.000198,0.129,0.836,97.918,10
It's Your Love,"Tim McGraw, Faith Hill",7nEdCj0MFbGWOxwjlpPesa,0.474,0.528,7,-8.588,1,0.0276,0.526,0.0,0.109,0.364,144.366,3
You Never Even Called Me By My Name,David Allan Coe,29TI0GvP5gMQMPTJjdMe0H,0.604,0.459,0,-13.19,1,0.0321,0.153,0.0,0.275,0.505,105.908,17
Tim McGraw,Taylor Swift,7DQmwd7zye9xvzMQJnD8S8,0.574,0.499,0,-6.462,1,0.0254,0.601,0.0,0.123,0.447,76.0,10
"Sunday Morning Coming Down - Live at Ryman Auditorium, Nashville, TN - July 1970",Johnny Cash,5KF3zQP0cqLklYnF6riogg,0.392,0.472,8,-9.499,1,0.0257,0.415,1.68e-05,0.892,0.808,78.93,12
Islands In the Stream,"Dolly Parton, Kenny Rogers",4dqEzdFAYkj1rjYLVDuTlN,0.595,0.473,8,-9.828,1,0.0347,0.702,0.0,0.0725,0.716,204.016,10
Crazy Girl,Eli Young Band,1nVLAEzhBXMJLR5zAl90Nl,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343,4
Always on My Mind,Willie Nelson,2xYQTU2bbg6WVAmpY1eae4,0.524,0.261,2,-13.868,1,0.0272,0.755,0.00105,0.144,0.201,73.36,3
Chicken Fried,Zac Brown Band,0LQtEJt7x0s6knb6RKdRYc,0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861,10
Walkin' After Midnight,Patsy Cline,22IXwYrhwf2mYCkVlF0Ulo,0.765,0.33,0,-7.95,1,0.0308,0.573,0.0,0.173,0.82,89.974,10
My Maria - with Thomas Rhett,"Brooks & Dunn, Thomas Rhett",64vkacv9XtTjAQSosbUbW2,0.624,0.807,3,-6.319,1,0.0361,0.00581,0.000267,0.0851,0.649,125.019,15
Alright,Darius Rucker,5JlH51YDYsGj2dyEJKKjcN,0.601,0.806,7,-4.579,1,0.0345,0.0527,0.0,0.185,0.711,89.87,1
"Mammas, Don't Let Your Babies Grow Up to Be Cowboys","Waylon Jennings, Willie Nelson",1gKSpFpX3poa17WIAyFVsp,0.592,0.422,9,-11.549,1,0.0332,0.614,0.0015,0.158,0.536,94.597,10
If Tomorrow Never Comes,Kent Blazy & Garth Brooks,6J4WWvwcWoW1DiZFoE7YfX,0.581,0.165,7,-9.864,1,0.0352,0.832,0.0,0.104,0.403,76.496,3
Need You Now,Lady A,11EX5yhxr9Ihl3IN1asrfK,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,6
Daddy Sang Bass,Johnny Cash,15TITugVC8RrpLctHXOqT8,0.681,0.638,4,-7.818,1,0.0367,0.699,0.000629,0.0581,0.677,96.882,10
Landslide,The Chicks,5hviCr3lgg6LY6noG6DPKs,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948,10
9 to 5,Dolly Parton,4w3tQBXhn5345eUXDGBWZG,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,12
The Battle Of New Orleans,Johnny Horton,1XRA4Tjb2YrcQU5ThDllCw,0.703,0.753,9,-11.783,1,0.135,0.803,0.0,0.0997,0.921,177.162,10
God Gave Me You,Blake Shelton,03IdmP4frla6BCFZH6rkaF,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,4
Gentle On My Mind - Remastered 2001,Glen Campbell,0mLoTgCB8oU0sJGojRtvDu,0.597,0.415,3,-13.799,1,0.0323,0.189,0.0,0.123,0.826,108.987,10
The Night The Lights Went Out In Georgia,Reba McEntire,2MiXC2LfpsoeUP5RvMGEQ3,0.428,0.51,7,-11.695,0,0.103,0.52,8.32e-06,0.105,0.393,169.967,3
Jambalaya (On The Bayou),"Hank Williams, Drifting Cowboys",0iSgP007c2uYck3dq5ltIM,0.497,0.188,7,-15.623,1,0.0324,0.891,2.35e-06,0.0901,0.909,164.253,3
Mud On the Tires,Brad Paisley,2rQyI7A1yTvTXJ9J4qFmmN,0.448,0.824,2,-5.508,1,0.0478,0.294,3.81e-05,0.662,0.463,185.217,4
Independence Day,Martina McBride,2jOkuPweyFcDBBBF8ZW8Zr,0.693,0.683,9,-4.575,1,0.0292,0.275,0.000101,0.0954,0.748,118.388,1
The Fightin' Side Of Me,Merle Haggard,7tvnZH4Db2zylKHo7ojKH1,0.754,0.497,4,-11.14,1,0.039,0.368,0.0,0.193,0.789,95.502,10
Should've Been A Cowboy,Toby Keith,4EDBgrYqYQ6b50yhJWKsHp,0.579,0.731,7,-5.659,1,0.0323,0.244,0.0,0.297,0.618,133.582,1
I Walk the Line,Johnny Cash,7hxZF4jETnE5Q75rKQnMjE,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,0.56,98.805,3
Drivin' My Life Away,Eddie Rabbitt,3PJ9yQv8IUmLx24KFvaVEI,0.66,0.639,9,-12.749,1,0.0369,0.0966,0.00104,0.0442,0.843,84.124,1
Gettin' You Home,Chris Young,28Sc21lrWcZD9Ov4rRkPJq,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966,13
Hello Walls,Faron Young,4dim8F8t01qimHOmr6S3Gd,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73e-06,0.114,0.695,101.489,10
Margaritaville,Jimmy Buffett,4EEjMyQub6tgFVshlM9j1M,0.8,0.545,2,-13.637,1,0.0357,0.711,0.00191,0.104,0.861,124.943,10
Drink A Beer,Luke Bryan,1PoGWZbJPGmViVi7CYbDUK,0.483,0.431,8,-7.656,1,0.0343,0.836,5.19e-05,0.199,0.296,78.26,3
Tulsa Time,Don Williams,0cThXovxrvU68JuzYUXhJT,0.916,0.57,4,-13.011,1,0.0334,0.458,0.000721,0.0595,0.957,104.415,10
Big Bad John,Jimmy Dean,61uAY9xdzYiIbYJ07XvKso,0.516,0.457,8,-12.609,1,0.184,0.596,0.0,0.106,0.455,173.934,3
She Don't Know She's Beautiful,Sammy Kershaw,2oyS4THTUzUxT2lnHGzzIr,0.764,0.646,9,-9.424,1,0.0302,0.367,0.0,0.0849,0.877,116.141,10
Drunk On A Plane,Dierks Bentley,1soxUgYIZb1qx1c7o1Lc7z,0.423,0.73,9,-5.566,1,0.032,0.00495,1.13e-05,0.238,0.66,205.972,4
"Louisiana Woman, Mississippi Man","Conway Twitty, Loretta Lynn",02sENi9ULQ36x9mKo5B7XW,0.62,0.711,1,-6.943,1,0.035,0.477,0.000168,0.0812,0.96,98.263,10
Smoky Mountain Rain,Ronnie Milsap,7CX9JYwpiObnYl2NzFqj4c,0.554,0.577,7,-8.62,1,0.0282,0.0165,2.91e-05,0.0719,0.479,140.277,13
Dang Me,Roger Miller,20iH1uibQIUqNFk3wzG7AG,0.564,0.378,9,-14.468,1,0.168,0.705,0.000716,0.0723,0.687,197.325,10
Something Like That,Tim McGraw,1zG6cEmeo4rv7Old8XD7vC,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8,4
Is Anybody Going To San Antone (feat. Charley Pride),Charley Pride,6wAD64HhuMcXGA4Z64BLqq,0.679,0.557,2,-10.482,1,0.0378,0.826,6.46e-06,0.959,0.769,119.06,12
Let Your Love Flow,The Bellamy Brothers,064SVQsmWl5EF0zahmzkQk,0.679,0.553,3,-14.687,1,0.0316,0.0611,7.16e-06,0.139,0.946,109.071,10
Sixteen Tons,Tennessee Ernie Ford,3P6OwCX7Ofiaaqtvujb6i5,0.693,0.324,11,-15.085,1,0.205,0.796,0.0,0.246,0.382,144.14,3
She Thinks My Tractor's Sexy,Kenny Chesney,3QV7NYkrmV0Q0IHdFJw9hO,0.689,0.886,10,-7.066,0,0.0382,0.0664,0.0,0.278,0.906,122.07,7
I'm So Lonesome I Could Cry,Hank Williams,0hveAq1VSNWo9MQYGMHvFF,0.678,0.218,4,-13.084,1,0.0288,0.874,0.000697,0.125,0.652,110.964,3
If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama,225W9qCk2o51QyFZiEVDW9,0.522,0.651,9,-9.817,1,0.0465,0.115,0.0,0.0585,0.818,111.01,1
Honey Bee,Blake Shelton,0U3xEfWLX4slslHJaAorSw,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57,4
Blue Eyes Crying In the Rain,Willie Nelson,2uRVPeQbsEpRQD0DKr1WTo,0.626,0.04,4,-19.994,1,0.0405,0.928,0.00178,0.11,0.418,117.136,3
Amazed,Lonestar,6iNcyWk5iUEY7P9zeTc5hm,0.557,0.553,1,-7.954,1,0.0319,0.247,0.0,0.125,0.253,139.821,6
I'm Comin' Over,Chris Young,0H04yVa3DJxoXbLBpAb7iV,0.575,0.845,10,-3.838,1,0.035,0.0282,0.0,0.0814,0.376,127.997,13
I've Got A Tiger By The Tail - 2006 Remastered Version,Buck Owens,1GDAvJth0ebssC2XkG7RYM,0.701,0.497,4,-10.05,1,0.0316,0.595,3.12e-05,0.118,0.963,96.513,10
Angel Of The Morning,Juice Newton,6NVB6W7G3svCKe5zB7kY8q,0.456,0.233,8,-12.634,1,0.0255,0.433,6.42e-05,0.0538,0.424,75.174,3
Ode To Billie Joe,Bobbie Gentry,4FdDorlbJTVHcH3djLbIfn,0.637,0.189,7,-10.726,1,0.0471,0.721,0.0,0.0939,0.695,120.142,10
Young,Kenny Chesney,3tHPjLBakLS48aumhFpJMt,0.684,0.84,9,-5.753,1,0.0433,0.0278,0.0,0.329,0.682,125.801,1
Crazy,Linda Ronstadt,79EctjVa6Z8tDmjnGWC03c,0.461,0.0262,11,-23.805,1,0.0368,0.539,0.000422,0.111,0.283,112.489,3
Chug-A-Lug,Roger Miller,3vMwtAfDNM8dDBWMvS78pn,0.699,0.408,11,-11.46,1,0.096,0.69,0.000219,0.145,0.842,171.922,10
Meet In the Middle,Diamond Rio,7lUE02KHkZM44BZgjCaWRO,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11,10
I Love,Tom T. Hall,2vhFsRat25P9D8rweQF1Jq,0.552,0.166,4,-19.499,1,0.0283,0.772,0.0315,0.135,0.56,92.049,3
Watching Airplanes,Gary Allan,63u5QGp9dKXAoYTVKUKBYn,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001,4
Sweet Dreams (Of You) - Single Version,Patsy Cline,2JKPDzbXrFT3rCFcUtVzoT,0.344,0.12,8,-16.647,1,0.0366,0.972,5.23e-05,0.359,0.304,125.997,3
I Cross My Heart - Pure Country Soundtrack Version,George Strait,6FHXJu99aQAUnivEjPhuUR,0.526,0.442,3,-10.133,1,0.0259,0.267,5.49e-05,0.106,0.284,131.055,13
Tennessee Flat-Top Box,Johnny Cash,7robBaDSeyFRaxT0QhBifa,0.659,0.724,5,-8.175,0,0.0322,0.261,0.00176,0.363,0.862,97.544,7
Good Directions,Billy Currington,7GQjJEwqlp6m5HNWVQd6OR,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512,13
She's In Love With The Boy,Trisha Yearwood,4EJvW4NHAk7TrIeX44jjXF,0.753,0.822,3,-4.914,1,0.031,0.518,1.72e-06,0.125,0.765,125.0,15
"Cold, Cold Heart","Hank Williams, Drifting Cowboys",1l5WwxtivtUrg1SCHYzFls,0.575,0.0767,2,-17.308,1,0.0433,0.937,0.0,0.198,0.401,113.404,3
Remind Me (with Carrie Underwood),"Brad Paisley, Carrie Underwood",4ABua0yuWcpTotImEEJTaw,0.485,0.726,5,-4.2,1,0.0327,0.0603,1.75e-05,0.225,0.288,140.781,4
She's All I Got,Johnny Paycheck,3w3vrnY530BeHUDWRcHrp9,0.627,0.426,10,-15.524,1,0.0377,0.685,0.0,0.112,0.841,138.278,10
Lady,Kenny Rogers,5Pj5zrq2nbKcAekH1AxbrO,0.362,0.183,3,-16.0,0,0.0347,0.861,0.000234,0.0932,0.2,136.646,3
You Ain't Woman Enough,Loretta Lynn,5XOM6Neo5IACRMhvd2ibKA,0.744,0.455,8,-7.543,1,0.0366,0.634,0.0,0.0526,0.905,75.281,10
Take A Back Road,Rodney Atkins,7B6m8tHAYZsOKOKMU5SR2n,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902,15
Last Date - Remastered,Floyd Cramer,1mcNoPKzV3AqlkRW04SWvr,0.256,0.417,0,-9.395,1,0.0356,0.731,0.000381,0.132,0.567,205.439,3
Desperado - (Live),Clint Black,64wIcMPOnEyBuxSTOU3KUj,0.424,0.313,6,-11.334,1,0.0359,0.716,0.0,0.951,0.374,115.084,12
Highwayman,"The Highwaymen, Willie Nelson, Johnny Cash, Waylon Jennings, Kris Kristofferson",7jWbXvrgdbkajU8L28ahn5,0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384,3
That's What I Love About Sunday,Craig Morgan,1fmi1hOBtH8xfUiWz4LVtE,0.6,0.56,8,-6.311,1,0.0325,0.479,0.0,0.111,0.417,139.469,13
Amarillo By Morning,George Strait,4TnUKixNWMfajncgdSwFoi,0.606,0.361,9,-16.031,1,0.0346,0.264,3.39e-05,0.38,0.621,121.059,10
Devil Woman,Marty Robbins,58ojWS1EGL6z5rEOELtJmH,0.684,0.277,4,-13.1,1,0.0533,0.921,6.54e-06,0.124,0.642,145.155,3
Don't Think I Don't Think About It,Darius Rucker,0XfFxeXzMkIy5SWAVpOQin,0.578,0.752,9,-5.264,1,0.033,0.0275,0.0,0.125,0.405,149.689,13
Rose Garden,Lynn Anderson,5YwgJ6lpZ3SiAQwBEpjqey,0.589,0.501,0,-11.665,1,0.031,0.168,0.0,0.0741,0.969,131.064,10
Little Bitty,Alan Jackson,2CBRlZtrYrhd8XXFFDSxAl,0.563,0.796,4,-7.604,1,0.0409,0.15,0.0,0.355,0.741,162.88,4
Help Me Make It Through The Night,Sammi Smith,2XWmbwp9FBAaFcSE9BLQzc,0.559,0.35,8,-12.01,1,0.0245,0.605,0.000443,0.102,0.413,78.035,3
Nineteen Somethin',Mark Wills,56coXX3B2Jns6jxbssJv0y,0.593,0.679,4,-5.297,1,0.0329,0.618,1.04e-05,0.171,0.574,89.188,10
The Race Is On,George Jones,1q0SkvboXCdVQauHBzVr9z,0.578,0.56,9,-11.873,1,0.0398,0.723,1.68e-05,0.119,0.875,85.541,10
Flowers On the Wall,The Statler Brothers,7ledv9CTjqdwnvHgRmETyZ,0.784,0.451,8,-11.225,0,0.0723,0.792,4.09e-05,0.115,0.78,100.303,10
I Can Love You Like That,John Michael Montgomery,19lw4C2aW6TYvxqRsek2Kd,0.655,0.336,11,-11.049,1,0.0264,0.302,0.0,0.343,0.203,88.554,13
Walk on By,Leroy Van Dyke,2EI50XcYPyKjx4rGbgihAk,0.568,0.62,10,-7.69,1,0.0403,0.798,0.000149,0.165,0.964,135.187,10
What Hurts The Most,Rascal Flatts,4bVuIlGQBMWS7vIhcx8Ae4,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,11
Jackson,"Johnny Cash, June Carter Cash",5fcxVCOtfesNzI2n4Y4kiJ,0.741,0.615,0,-8.072,1,0.0358,0.519,0.000344,0.408,0.799,128.496,10
I Love a Rainy Night,Eddie Rabbitt,0zvNHIL7ci0ZzIoWU6RO2u,0.685,0.718,0,-7.724,1,0.0521,0.122,0.0,0.0556,0.958,131.463,15
Oh Lonesome Me,Don Gibson,7pE3xCbi3P4OyHWzONRZwB,0.676,0.827,10,-6.919,1,0.0354,0.749,1.01e-06,0.0676,0.947,102.9,10
Just Got Started Lovin' You,James Otto,4b0XF7CDpJEBAdVHMw7amV,0.705,0.606,7,-7.047,1,0.0243,0.159,0.00149,0.242,0.876,98.001,1
The Most Beautiful Girl,Charlie Rich,5kXmiepRVuKhhz0SxyCVeL,0.566,0.409,7,-10.379,1,0.0265,0.702,3.36e-06,0.101,0.458,103.233,3
Fishin' in the Dark,Nitty Gritty Dirt Band,7lJbTVbDEMa3w7NFamrwdq,0.771,0.283,2,-16.326,1,0.0444,0.198,0.0,0.0888,0.906,77.756,10
D-I-V-O-R-C-E,Tammy Wynette,4JPEuPsDG3nNJMAvvQ2Rr3,0.628,0.383,9,-9.216,1,0.0296,0.826,0.0,0.151,0.564,99.789,3
Suds in the Bucket,Sara Evans,6NhpIdjYoufuNNlBsgOztc,0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992,1
Mama Tried,Merle Haggard & The Strangers,04ilBEd1FVUhpv9ItR6yTN,0.694,0.489,2,-13.119,1,0.0535,0.744,2.59e-06,0.079,0.695,97.982,10
Wish I Didn't Know Now,Toby Keith,3acc39xylOcBe7hIMkdeum,0.771,0.797,7,-5.734,1,0.0357,0.369,4.02e-06,0.306,0.807,116.948,1
Don't Happen Twice,Kenny Chesney,04ccQGJ1i8gL7JoeCPiJbv,0.499,0.708,7,-7.029,1,0.0301,0.00626,1.15e-05,0.0423,0.617,158.785,4
My Heroes Have Always Been Cowboys - Live,"Willie Nelson, Chris Stapleton",6LwFptnDWoGKTdhAFNjVQF,0.255,0.417,7,-10.918,1,0.0538,0.817,0.0413,0.769,0.346,79.532,3
Where The Green Grass Grows,Tim McGraw,0nDjzA4kns1QOWPXuOn6Xw,0.479,0.698,7,-7.914,1,0.0277,0.198,0.0,0.126,0.673,159.699,4
Act Naturally,Buck Owens,3JWEMzwpcWCvu4Qw1BIbYi,0.552,0.474,7,-6.847,1,0.0275,0.336,0.0,0.173,0.7,92.156,10
It Won't Be Like This For Long,Darius Rucker,4gzeYkzuzxuzAUTsGcdjqA,0.584,0.524,4,-6.001,1,0.0287,0.335,0.0,0.11,0.389,143.863,13
Queen Of Hearts,Juice Newton,6xBUWSz8INNHO6wFYuPtQl,0.669,0.779,2,-11.522,1,0.0533,0.211,8.98e-05,0.132,0.975,169.478,15
